index,status,uuid,experiment,file_path,image,args,params,cpu_request,memory_request,disk_request,GPU,next_job
20,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T140203-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T140203-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
21,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T150001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T150001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
22,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T160001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T160001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
23,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T170001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T170001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
24,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T180002-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T180002-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
25,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T190000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T190000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
26,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T200000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T200000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
27,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T210000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T210000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
28,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T220002-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T220002-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
29,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-17-T230000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-17-T230000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
